Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7047721,MCV2,COUNTRY,KAZ,EUR,Europe,YEAR,2023,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
8683716,MCV2,COUNTRY,VUT,WPR,Western Pacific,YEAR,2021,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
1518460,MCV2,COUNTRY,KAZ,EUR,Europe,YEAR,2007,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2007,2007-01-01,2007-12-31
4763023,MCV2,COUNTRY,MLI,AFR,Africa,YEAR,2013,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2013,2013-01-01,2013-12-31
3201377,MCV2,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,95,95,,,,2025-07-14T16:23:12Z,2014,2014-01-01,2014-12-31
1638382,MCV2,COUNTRY,ARG,AMR,Americas,YEAR,2011,,,,,,,,,91,91,,,,2025-07-14T16:23:12Z,2011,2011-01-01,2011-12-31
1657208,MCV2,COUNTRY,BGR,EUR,Europe,YEAR,2023,,,,,,,,,87,87,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
3334491,MCV2,COUNTRY,BWA,AFR,Africa,YEAR,2015,,,,,,,,,80,80,,,,2025-07-14T16:23:12Z,2015,2015-01-01,2015-12-31
1865569,MCV2,COUNTRY,HUN,EUR,Europe,YEAR,2001,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2001,2001-01-01,2001-12-31
3528824,MCV2,COUNTRY,GHA,AFR,Africa,YEAR,2007,,,,,,,,,0,0,,,,2025-07-14T16:23:12Z,2007,2007-01-01,2007-12-31
4984461,MCV2,COUNTRY,ATG,AMR,Americas,YEAR,2007,,,,,,,,,78,78,,,,2025-07-14T16:23:12Z,2007,2007-01-01,2007-12-31
9286908,MCV2,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2024,,,,,,,,,68,68,,,,2025-07-14T16:23:12Z,2024,2024-01-01,2024-12-31
3750869,MCV2,COUNTRY,DEU,EUR,Europe,YEAR,2021,,,,,,,,,93,93,,,,2025-07-14T16:23:12Z,2021,2021-01-01,2021-12-31
582072,MCV2,COUNTRY,TON,WPR,Western Pacific,YEAR,2023,,,,,,,,,99,99,,,,2025-07-14T16:23:12Z,2023,2023-01-01,2023-12-31
9432779,MCV2,COUNTRY,LCA,AMR,Americas,YEAR,2001,,,,,,,,,73,73,,,,2025-07-14T16:23:12Z,2001,2001-01-01,2001-12-31
658005,MCV2,COUNTRY,GMB,AFR,Africa,YEAR,2017,,,,,,,,,68,68,,,,2025-07-14T16:23:12Z,2017,2017-01-01,2017-12-31
9496225,MCV2,COUNTRY,SWE,EUR,Europe,YEAR,2001,,,,,,,,,94,94,,,,2025-07-14T16:23:12Z,2001,2001-01-01,2001-12-31
841844,MCV2,WORLDBANKINCOMEGROUP,WB_HI,,,YEAR,2013,,,,,,,,,90,90,,,,2025-07-14T16:23:12Z,2013,2013-01-01,2013-12-31
4143642,MCV2,WORLDBANKINCOMEGROUP,WB_LMI,,,YEAR,2002,,,,,,,,,6,6,,,,2025-07-14T16:23:12Z,2002,2002-01-01,2002-12-31
